GEOID,COUNTYFP,COUNTY,SQUARE_MILES,TOT_POP21,C_US_BRN21,C_PR_BRN21,C_AB_BRN21,C_NTRLZN21,NOT_CIT21
18001,1,Adams County,339.03,35685,35163,0,155,135,232
18003,3,Allen County,657.31,381839,351834,786,1801,13421,13997
18005,5,Bartholomew County,406.91,81759,72281,308,318,1722,7130
18007,7,Benton County,406.42,8687,8480,16,20,31,140
18009,9,Blackford County,165.08,12139,12006,0,34,37,62
18011,11,Boone County,422.91,69839,66199,68,351,1623,1598
18013,13,Brown County,311.98,15444,15096,0,75,126,147
18015,15,Carroll County,372.22,20288,19773,2,73,181,259
18017,17,Cass County,412.16,37918,34087,119,352,1271,2089
18019,19,Clark County,372.86,120185,114666,125,851,1951,2592
18021,21,Clay County,357.54,26397,26082,27,96,128,64
18023,23,Clinton County,405.07,33010,30417,43,151,548,1851
18025,25,Crawford County,305.64,10511,10457,23,12,19,0
18027,27,Daviess County,429.49,33281,31968,88,83,353,789
18029,29,Dearborn County,305.03,50494,49771,34,157,324,208
18031,31,Decatur County,372.57,26466,25799,0,143,104,420
18033,33,DeKalb County,362.82,43059,42421,0,134,296,208
18035,35,Delaware County,392.12,112480,109678,5,506,1027,1264
18037,37,Dubois County,427.27,43474,41267,0,99,675,1433
18039,39,Elkhart County,463.17,206314,187010,980,1710,6787,9827
18041,41,Fayette County,215.01,23393,22995,11,94,144,149
18043,43,Floyd County,147.94,79594,76884,56,450,1107,1097
18045,45,Fountain County,395.66,16422,16182,0,23,122,95
18047,47,Franklin County,384.43,22769,22417,0,117,152,83
18049,49,Fulton County,368.39,20400,19594,0,57,347,402
18051,51,Gibson County,487.49,33017,32184,17,114,194,508
18053,53,Grant County,414.07,66802,65116,56,379,673,578
18055,55,Greene County,542.5,30924,30487,10,128,76,223
18057,57,Hamilton County,394.27,341616,307014,736,3323,15574,14969
18059,59,Hancock County,306.02,78616,76363,228,303,1008,714
18061,61,Harrison County,484.52,39516,38905,0,110,192,309
18063,63,Hendricks County,406.91,172100,161835,281,1287,5267,3430
18065,65,Henry County,391.88,48857,48214,24,262,225,132
18067,67,Howard County,293.06,83349,81131,171,342,988,717
18069,69,Huntington County,382.65,36572,35933,51,49,156,383
18071,71,Jackson County,509.31,45948,43270,11,290,310,2067
18073,73,Jasper County,559.63,33006,32008,22,75,397,504
18075,75,Jay County,383.91,20570,20212,20,56,105,177
18077,77,Jefferson County,360.63,33000,32404,0,165,177,254
18079,79,Jennings County,376.58,27619,27133,17,144,138,187
