countyfips,countyname,total_reg,age_18_19,age_20_24,age_25_29,age_30_34,age_35_44,age_45_54,age_55_64,age_65_74,age_75_84,age_85over,voters_gender_m,voters_gender_f,voters_gender_unknown,party_npp,party_rep,party_dem,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_93,eth2_64,eth2_23,eth2_30,eth2_10,eth2_34,eth2_14,eth2_21,eth2_61,eth2_12,eth2_55,eth2_85,eth2_59,eth2_35,eth2_38,eth2_33,eth2_29,eth2_32,eth2_99,eth2_66,eth2_18,eth2_unk,languages_description_english,languages_description_spanish,languages_description_hindi,languages_description_chinese,languages_description_vietnamese,languages_description_german,languages_description_other,languages_description_unknown,absenteetypes_description_permanent_out_of_country,commercialdata_estimatedhhincomeamount_avg,g20221108_voted_all,g20221108_reg_all,g20221108_pct_voted_all,g20221108_voted_gender_m,g20221108_reg_gender_m,g20221108_pct_voted_gender_m,g20221108_voted_gender_f,g20221108_reg_gender_f,g20221108_pct_voted_gender_f,g20221108_voted_gender_unk,g20221108_reg_gender_unk,g20221108_pct_voted_gender_unk,g20221108_voted_eur,g20221108_reg_eur,g20221108_pct_voted_eur,g20221108_voted_hisp,g20221108_reg_hisp,g20221108_pct_voted_hisp,g20221108_voted_aa,g20221108_reg_aa,g20221108_pct_voted_aa,g20221108_voted_esa,g20221108_reg_esa,g20221108_pct_voted_esa,g20221108_voted_oth,g20221108_reg_oth,g20221108_pct_voted_oth,g20221108_voted_unk,g20221108_reg_unk,g20221108_pct_voted_unk,p20220503_voted_all,p20220503_reg_all,p20220503_pct_voted_all,p20220503_voted_gender_m,p20220503_reg_gender_m,p20220503_pct_voted_gender_m,p20220503_voted_gender_f,p20220503_reg_gender_f,p20220503_pct_voted_gender_f,p20220503_voted_gender_unk,p20220503_reg_gender_unk,p20220503_pct_voted_gender_unk,p20220503_voted_eur,p20220503_reg_eur,p20220503_pct_voted_eur,p20220503_voted_hisp,p20220503_reg_hisp,p20220503_pct_voted_hisp,p20220503_voted_aa,p20220503_reg_aa,p20220503_pct_voted_aa,p20220503_voted_esa,p20220503_reg_esa,p20220503_pct_voted_esa,p20220503_voted_oth,p20220503_reg_oth,p20220503_pct_voted_oth,p20220503_voted_unk,p20220503_reg_unk,p20220503_pct_voted_unk,cg20211102_voted_all,cg20211102_reg_all,cg20211102_pct_voted_all,cg20211102_voted_gender_m,cg20211102_reg_gender_m,cg20211102_pct_voted_gender_m,cg20211102_voted_gender_f,cg20211102_reg_gender_f,cg20211102_pct_voted_gender_f,cg20211102_voted_gender_unk,cg20211102_reg_gender_unk,cg20211102_pct_voted_gender_unk,cg20211102_voted_eur,cg20211102_reg_eur,cg20211102_pct_voted_eur,cg20211102_voted_hisp,cg20211102_reg_hisp,cg20211102_pct_voted_hisp,cg20211102_voted_aa,cg20211102_reg_aa,cg20211102_pct_voted_aa,cg20211102_voted_esa,cg20211102_reg_esa,cg20211102_pct_voted_esa,cg20211102_voted_oth,cg20211102_reg_oth,cg20211102_pct_voted_oth,cg20211102_voted_unk,cg20211102_reg_unk,cg20211102_pct_voted_unk,s20210504_voted_all,s20210504_reg_all,s20210504_pct_voted_all,s20210504_voted_gender_m,s20210504_reg_gender_m,s20210504_pct_voted_gender_m,s20210504_voted_gender_f,s20210504_reg_gender_f,s20210504_pct_voted_gender_f,s20210504_voted_gender_unk,s20210504_reg_gender_unk,s20210504_pct_voted_gender_unk,s20210504_voted_eur,s20210504_reg_eur,s20210504_pct_voted_eur,s20210504_voted_hisp,s20210504_reg_hisp,s20210504_pct_voted_hisp,s20210504_voted_aa,s20210504_reg_aa,s20210504_pct_voted_aa,s20210504_voted_esa,s20210504_reg_esa,s20210504_pct_voted_esa,s20210504_voted_oth,s20210504_reg_oth,s20210504_pct_voted_oth,s20210504_voted_unk,s20210504_reg_unk,s20210504_pct_voted_unk,g20201103_voted_all,g20201103_reg_all,g20201103_pct_voted_all,g20201103_voted_gender_m,g20201103_reg_gender_m,g20201103_pct_voted_gender_m,g20201103_voted_gender_f,g20201103_reg_gender_f,g20201103_pct_voted_gender_f,g20201103_voted_gender_unk,g20201103_reg_gender_unk,g20201103_pct_voted_gender_unk,g20201103_voted_eur,g20201103_reg_eur,g20201103_pct_voted_eur,g20201103_voted_hisp,g20201103_reg_hisp,g20201103_pct_voted_hisp,g20201103_voted_aa,g20201103_reg_aa,g20201103_pct_voted_aa,g20201103_voted_esa,g20201103_reg_esa,g20201103_pct_voted_esa,g20201103_voted_oth,g20201103_reg_oth,g20201103_pct_voted_oth,g20201103_voted_unk,g20201103_reg_unk,g20201103_pct_voted_unk,pp20200602_voted_all,pp20200602_reg_all,pp20200602_pct_voted_all,pp20200602_voted_gender_m,pp20200602_reg_gender_m,pp20200602_pct_voted_gender_m,pp20200602_voted_gender_f,pp20200602_reg_gender_f,pp20200602_pct_voted_gender_f,pp20200602_voted_gender_unk,pp20200602_reg_gender_unk,pp20200602_pct_voted_gender_unk,pp20200602_voted_eur,pp20200602_reg_eur,pp20200602_pct_voted_eur,pp20200602_voted_hisp,pp20200602_reg_hisp,pp20200602_pct_voted_hisp,pp20200602_voted_aa,pp20200602_reg_aa,pp20200602_pct_voted_aa,pp20200602_voted_esa,pp20200602_reg_esa,pp20200602_pct_voted_esa,pp20200602_voted_oth,pp20200602_reg_oth,pp20200602_pct_voted_oth,pp20200602_voted_unk,pp20200602_reg_unk,pp20200602_pct_voted_unk,p20200602_voted_all,p20200602_reg_all,p20200602_pct_voted_all,p20200602_voted_gender_m,p20200602_reg_gender_m,p20200602_pct_voted_gender_m,p20200602_voted_gender_f,p20200602_reg_gender_f,p20200602_pct_voted_gender_f,p20200602_voted_gender_unk,p20200602_reg_gender_unk,p20200602_pct_voted_gender_unk,p20200602_voted_eur,p20200602_reg_eur,p20200602_pct_voted_eur,p20200602_voted_hisp,p20200602_reg_hisp,p20200602_pct_voted_hisp,p20200602_voted_aa,p20200602_reg_aa,p20200602_pct_voted_aa,p20200602_voted_esa,p20200602_reg_esa,p20200602_pct_voted_esa,p20200602_voted_oth,p20200602_reg_oth,p20200602_pct_voted_oth,p20200602_voted_unk,p20200602_reg_unk,p20200602_pct_voted_unk
18007,BENTON,5717,61,472,460,455,849,875,1004,881,468,187,2806,2907,4,2158,2939,607,13,0,4868,230,7,21,36,555,4868,7,230,7,8,11,2,1,1,1,1,2,10,1,6,0,0,1,0,0,0,0,555,2570,28,0,0,0,1,7,3111,6,69322,2454,5679,0.43209999999999998,1214,2785,0.43590000000000001,1236,2890,0.42769999999999991,4,4,1,2148,4837,0.44410000000000005,44,227,0.19380000000000003,0,7,0,4,21,0.1905,16,35,0.45709999999999995,242,552,0.43839999999999996,1906,5599,0.34039999999999998,937,2746,0.3412,965,2849,0.33869999999999995,4,4,1,1638,4764,0.34379999999999999,40,224,0.17860000000000001,0,7,0,6,21,0.28570000000000001,8,35,0.2286,214,548,0.39049999999999996,0,5477,0,0,2687,0,0,2786,0,0,4,0,0,4664,0,0,222,0,0,7,0,0,21,0,0,35,0,0,528,0,0,5410,0,0,2648,0,0,2758,0,0,4,0,0,4614,0,0,212,0,0,7,0,0,21,0,0,35,0,0,521,0,3882,5339,0.72710000000000008,1859,2605,0.71360000000000001,2019,2730,0.73960000000000004,4,4,1,3355,4557,0.73619999999999997,104,205,0.50730000000000008,2,7,0.28570000000000001,13,20,0.65000000000000002,24,35,0.68570000000000009,384,515,0.74560000000000004,2168,5171,0.41929999999999995,1029,2511,0.40980000000000005,1136,2656,0.42769999999999991,3,4,0.75,1873,4420,0.42380000000000007,40,192,0.20830000000000001,1,7,0.1429,7,20,0.34999999999999998,12,34,0.35289999999999999,235,498,0.47189999999999993,2168,5171,0.41929999999999995,1029,2511,0.40980000000000005,1136,2656,0.42769999999999991,3,4,0.75,1873,4420,0.42380000000000007,40,192,0.20830000000000001,1,7,0.1429,7,20,0.34999999999999998,12,34,0.35289999999999999,235,498,0.47189999999999993
18017,CASS,21290,241,1454,1579,1578,3004,3194,3804,3555,2058,815,10394,10856,40,9027,8480,3777,6,0,17481,1654,82,213,122,1738,17481,80,1644,31,19,86,32,37,21,2,9,8,13,17,2,6,1,0,0,2,10,14,1738,10697,223,4,14,2,7,31,10312,35,66729,8526,21053,0.40499999999999997,4203,10283,0.40869999999999995,4306,10730,0.40129999999999999,17,40,0.42499999999999999,7578,17334,0.43719999999999998,149,1603,0.092999999999999999,8,80,0.10000000000000001,47,206,0.22820000000000001,50,120,0.41669999999999996,694,1710,0.40579999999999999,3083,20770,0.1484,1521,10130,0.15009999999999998,1553,10603,0.14650000000000002,9,37,0.2432,2730,17152,0.15919999999999998,41,1538,0.026700000000000002,3,76,0.0395,17,197,0.086299999999999988,23,117,0.1966,269,1690,0.15919999999999998,0,20516,0,0,9993,0,0,10488,0,0,35,0,0,17007,0,0,1476,0,0,69,0,0,191,0,0,113,0,0,1660,0,0,20261,0,0,9851,0,0,10375,0,0,35,0,0,16854,0,0,1410,0,0,65,0,0,187,0,0,111,0,0,1634,0,14076,20067,0.70150000000000001,6689,9759,0.6853999999999999,7364,10274,0.71679999999999988,23,34,0.6765000000000001,12105,16735,0.72329999999999994,625,1367,0.4572,26,63,0.41269999999999996,110,179,0.61450000000000005,80,111,0.72070000000000012,1130,1612,0.70099999999999996,5394,19235,0.28039999999999998,2463,9312,0.26450000000000001,2920,9889,0.29530000000000001,11,34,0.32350000000000001,4783,16135,0.29639999999999994,105,1227,0.085599999999999982,4,56,0.071400000000000005,31,164,0.189,33,109,0.30280000000000001,438,1544,0.28369999999999995,5394,19235,0.28039999999999998,2463,9312,0.26450000000000001,2920,9889,0.29530000000000001,11,34,0.32350000000000001,4783,16135,0.29639999999999994,105,1227,0.085599999999999982,4,56,0.071400000000000005,31,164,0.189,33,109,0.30280000000000001,438,1544,0.28369999999999995
18025,CRAWFORD,7221,49,431,411,500,1031,1150,1438,1367,660,179,3657,3562,2,2677,2420,1961,163,0,6454,73,10,20,62,602,6454,10,73,4,11,6,2,8,0,0,2,1,0,1,40,0,0,0,1,0,0,0,602,3608,4,0,0,0,1,10,3598,9,60730,3763,7170,0.52479999999999993,1913,3632,0.52670000000000006,1850,3536,0.52320000000000011,0,2,0,3392,6408,0.52929999999999988,19,73,0.26030000000000003,3,10,0.29999999999999999,10,20,0.5,30,61,0.49180000000000001,309,598,0.51669999999999994,1883,7064,0.26660000000000006,907,3573,0.25380000000000003,976,3489,0.27969999999999995,0,2,0,1692,6322,0.2676,3,70,0.042900000000000001,2,10,0.20000000000000001,6,20,0.29999999999999999,13,61,0.21309999999999998,167,581,0.28739999999999999,0,6971,0,0,3523,0,0,3446,0,0,2,0,0,6244,0,0,70,0,0,10,0,0,20,0,0,59,0,0,568,0,0,6892,0,0,3489,0,0,3401,0,0,2,0,0,6176,0,0,69,0,0,10,0,0,18,0,0,57,0,0,562,0,4710,6831,0.6895,2366,3465,0.68280000000000007,2344,3364,0.69679999999999986,0,2,0,4258,6129,0.69469999999999998,33,66,0.5,5,10,0.5,13,18,0.72219999999999995,34,56,0.60709999999999997,367,552,0.66489999999999994,1768,6619,0.2671,858,3363,0.25509999999999999,910,3254,0.27969999999999995,0,2,0,1600,5944,0.26919999999999999,5,60,0.083299999999999999,0,9,0,7,17,0.41180000000000005,6,53,0.11320000000000001,150,536,0.27989999999999998,1768,6619,0.2671,858,3363,0.25509999999999999,910,3254,0.27969999999999995,0,2,0,1600,5944,0.26919999999999999,5,60,0.083299999999999999,0,9,0,7,17,0.41180000000000005,6,53,0.11320000000000001,150,536,0.27989999999999998
18031,DECATUR,16185,197,1171,1195,1215,2392,2543,2889,2662,1399,520,7964,8219,2,6422,7763,1968,32,0,14118,203,15,54,78,1717,14118,14,202,19,40,19,4,8,4,0,1,0,14,4,3,5,0,0,0,1,1,0,1717,8264,17,0,1,1,7,22,7873,17,79978,8070,16057,0.50260000000000005,4063,7887,0.51519999999999999,4007,8168,0.49060000000000004,0,2,0,7099,14017,0.50649999999999995,63,195,0.32310000000000005,4,15,0.26669999999999999,19,54,0.35189999999999999,33,77,0.42859999999999998,852,1699,0.50149999999999995,3835,15836,0.24219999999999997,1917,7770,0.24669999999999997,1918,8064,0.23780000000000001,0,2,0,3367,13830,0.24349999999999999,29,189,0.15340000000000001,1,14,0.071400000000000005,6,54,0.1111,12,75,0.16,420,1674,0.25090000000000001,0,15622,0,0,7662,0,0,7958,0,0,2,0,0,13659,0,0,185,0,0,14,0,0,50,0,0,72,0,0,1642,0,0,15458,0,0,7580,0,0,7877,0,0,1,0,0,13526,0,0,178,0,0,12,0,0,49,0,0,70,0,0,1623,0,11635,15316,0.75969999999999993,5677,7494,0.75750000000000006,5958,7821,0.76179999999999992,0,1,0,10194,13403,0.76059999999999994,106,175,0.60570000000000002,9,12,0.75,35,49,0.71429999999999993,50,70,0.71429999999999993,1241,1607,0.7722,4224,14702,0.2873,1968,7180,0.27410000000000007,2256,7521,0.29999999999999999,0,1,0,3717,12867,0.28889999999999999,35,165,0.21210000000000001,1,12,0.083299999999999999,11,44,0.25,17,69,0.24640000000000001,443,1545,0.28670000000000001,4224,14702,0.2873,1968,7180,0.27410000000000007,2256,7521,0.29999999999999999,0,1,0,3717,12867,0.28889999999999999,35,165,0.21210000000000001,1,12,0.083299999999999999,11,44,0.25,17,69,0.24640000000000001,443,1545,0.28670000000000001
18033,DE KALB,27954,260,1939,2160,2155,4391,4564,5018,4416,2302,743,13703,14249,2,13138,11039,3706,71,0,24254,570,24,128,142,2836,24254,22,558,48,28,30,32,16,19,1,9,12,3,8,20,7,1,1,2,2,12,2,2836,13912,60,3,0,9,9,30,13931,36,77804,11733,27761,0.42260000000000009,5829,13603,0.42849999999999999,5903,14156,0.41699999999999998,1,2,0.5,10314,24098,0.42799999999999994,149,560,0.26610000000000006,7,23,0.30430000000000001,46,128,0.3594,59,139,0.42449999999999999,1158,2813,0.41170000000000001,5706,27348,0.20859999999999998,2814,13388,0.2102,2892,13958,0.2072,0,2,0,5044,23768,0.2122,59,542,0.1089,4,21,0.1905,23,122,0.18850000000000003,24,137,0.17519999999999999,552,2758,0.2001,1,27050,0,0,13219,0,1,13829,0.0001,0,2,0,1,23525,0,0,529,0,0,21,0,0,119,0,0,130,0,0,2726,0,1,26738,0,1,13055,0.0001,0,13681,0,0,2,0,1,23267,0,0,518,0,0,20,0,0,116,0,0,125,0,0,2692,0,18774,26404,0.71099999999999997,9045,12887,0.70189999999999997,9727,13515,0.71970000000000001,2,2,1,16403,22985,0.71360000000000001,296,503,0.58850000000000002,14,20,0.69999999999999996,79,113,0.69909999999999994,89,124,0.71770000000000012,1893,2659,0.71189999999999998,6330,25369,0.2495,2958,12347,0.23959999999999998,3371,13020,0.25889999999999996,1,2,0.5,5555,22106,0.25130000000000002,80,468,0.1709,4,18,0.22220000000000001,23,102,0.22549999999999998,31,117,0.26500000000000001,637,2558,0.24899999999999997,6330,25369,0.2495,2958,12347,0.23959999999999998,3371,13020,0.25889999999999996,1,2,0.5,5555,22106,0.25130000000000002,80,468,0.1709,4,18,0.22220000000000001,23,102,0.22549999999999998,31,117,0.26500000000000001,637,2558,0.24899999999999997
18035,DELAWARE,72703,531,5877,6349,5804,10943,11182,11763,10716,6750,2711,34728,37879,96,31031,19475,21475,722,0,62452,1311,2726,602,536,5076,62452,2709,1299,178,233,207,81,72,73,27,36,19,18,9,21,18,12,10,30,17,12,1,5076,32885,92,21,14,15,17,88,39571,128,67930,30129,72269,0.41689999999999994,14588,34472,0.42320000000000002,15505,37703,0.41120000000000001,36,94,0.38299999999999995,26745,62102,0.43070000000000003,337,1292,0.26080000000000003,708,2705,0.26169999999999999,186,595,0.31260000000000004,197,532,0.37030000000000002,1956,5043,0.38790000000000002,10442,71109,0.14680000000000001,5126,33877,0.15130000000000002,5296,37138,0.1426,20,94,0.21280000000000002,9338,61179,0.15260000000000001,113,1240,0.091099999999999987,249,2656,0.093799999999999994,35,572,0.061199999999999997,53,519,0.1021,654,4943,0.1323,0,70269,0,0,33446,0,0,36729,0,0,94,0,0,60525,0,0,1192,0,0,2609,0,0,558,0,0,512,0,0,4873,0,0,69490,0,0,33031,0,0,36365,0,0,94,0,0,59877,0,0,1161,0,0,2577,0,0,547,0,0,501,0,0,4827,0,45243,68910,0.65659999999999996,21159,32699,0.64710000000000012,24040,36117,0.66560000000000008,44,94,0.46810000000000002,39685,59425,0.66779999999999995,622,1137,0.54710000000000003,1300,2541,0.51160000000000005,318,541,0.58779999999999988,321,492,0.65239999999999987,2997,4774,0.62779999999999991,17224,66366,0.25949999999999995,7719,31394,0.24590000000000001,9478,34878,0.27169999999999994,27,94,0.28720000000000001,15102,57341,0.26339999999999997,199,1061,0.18759999999999999,585,2453,0.23850000000000002,102,509,0.20039999999999999,86,465,0.18490000000000001,1150,4537,0.2535,17224,66366,0.25949999999999995,7719,31394,0.24590000000000001,9478,34878,0.27169999999999994,27,94,0.28720000000000001,15102,57341,0.26339999999999997,199,1061,0.18759999999999999,585,2453,0.23850000000000002,102,509,0.20039999999999999,86,465,0.18490000000000001,1150,4537,0.2535
18037,DUBOIS,29180,253,1934,2186,2226,4470,4232,5425,4817,2611,1013,14251,14911,18,12032,9546,7552,50,0,23959,992,21,160,138,3910,23959,19,986,25,42,84,17,21,18,6,6,7,6,2,42,9,1,0,1,2,6,0,3910,15352,88,5,3,4,27,25,13676,50,86184,13875,28999,0.47850000000000004,6960,14156,0.49169999999999997,6908,14825,0.46600000000000003,7,18,0.38890000000000002,11664,23829,0.48950000000000005,169,972,0.1739,4,21,0.1905,78,158,0.49369999999999992,51,133,0.38350000000000001,1909,3886,0.49130000000000001,3281,28574,0.11480000000000001,1673,13936,0.12,1606,14622,0.10980000000000001,2,16,0.125,2749,23514,0.1169,30,928,0.032299999999999995,2,21,0.095199999999999993,17,153,0.1111,6,129,0.0465,477,3829,0.1246,0,28259,0,0,13764,0,0,14480,0,0,15,0,0,23286,0,0,889,0,0,21,0,0,150,0,0,127,0,0,3786,0,0,28000,0,0,13633,0,0,14352,0,0,15,0,0,23091,0,0,858,0,0,21,0,0,144,0,0,124,0,0,3762,0,21104,27783,0.75960000000000005,10208,13511,0.75549999999999995,10883,14257,0.76329999999999998,13,15,0.86670000000000003,17574,22929,0.76650000000000007,456,834,0.54679999999999995,13,20,0.65000000000000002,110,141,0.78010000000000002,86,123,0.69920000000000004,2865,3736,0.76689999999999992,5112,26901,0.19,2365,13053,0.18119999999999997,2744,13833,0.19839999999999999,3,15,0.20000000000000001,4293,22269,0.19280000000000003,73,748,0.097599999999999992,3,19,0.15790000000000001,23,134,0.1716,27,118,0.22880000000000003,693,3613,0.1918,5112,26901,0.19,2365,13053,0.18119999999999997,2744,13833,0.19839999999999999,3,15,0.20000000000000001,4293,22269,0.19280000000000003,73,748,0.097599999999999992,3,19,0.15790000000000001,23,134,0.1716,27,118,0.22880000000000003,693,3613,0.1918
18039,ELKHART,115813,1259,9389,9801,9984,18770,17926,19042,16410,9355,3806,56061,59692,60,56703,37838,21203,69,0,88631,11480,2397,1083,1064,11158,88631,2376,11449,374,297,282,330,111,129,54,67,75,26,60,35,40,37,9,32,21,31,5,11158,51394,1578,54,26,31,54,270,62406,432,78821,44977,114751,0.39200000000000002,21888,55475,0.39460000000000001,23086,59217,0.38989999999999997,3,59,0.050799999999999998,37957,87965,0.43149999999999994,1400,11235,0.1246,346,2363,0.1464,252,1073,0.23490000000000003,360,1049,0.34320000000000001,4662,11066,0.42130000000000001,10333,112525,0.091799999999999993,5070,54388,0.093200000000000005,5263,58086,0.090599999999999986,0,51,0,8904,86520,0.10290000000000002,190,10753,0.0177,74,2317,0.031899999999999998,45,1051,0.042799999999999991,64,1014,0.063100000000000003,1056,10870,0.097099999999999992,2871,110950,0.025899999999999999,1352,53502,0.0253,1519,57399,0.026500000000000003,0,49,0,2428,85514,0.028399999999999998,93,10455,0.0088999999999999999,11,2265,0.0048999999999999998,18,1026,0.017499999999999998,20,1003,0.019899999999999998,301,10687,0.028199999999999996,5573,109280,0.051000000000000004,2632,52625,0.050000000000000003,2941,56607,0.052000000000000005,0,48,0,4747,84423,0.056200000000000007,117,10128,0.011599999999999999,83,2202,0.037700000000000004,20,1001,0.02,52,988,0.052600000000000001,554,10538,0.052600000000000001,69272,107785,0.64270000000000016,32509,51841,0.62709999999999999,36751,55898,0.65749999999999997,12,46,0.26089999999999997,56022,83459,0.6712999999999999,4342,9818,0.44219999999999998,874,2148,0.40689999999999998,524,985,0.53200000000000003,589,961,0.6129,6921,10414,0.66460000000000008,22896,102862,0.22259999999999999,10444,49296,0.21190000000000003,12450,53520,0.23259999999999997,2,46,0.043499999999999997,19215,80008,0.24020000000000002,813,9099,0.089400000000000007,266,2040,0.13040000000000002,118,926,0.12740000000000001,160,876,0.18259999999999998,2324,9913,0.23440000000000003,22896,102862,0.22259999999999999,10444,49296,0.21190000000000003,12450,53520,0.23259999999999997,2,46,0.043499999999999997,19215,80008,0.24020000000000002,813,9099,0.089400000000000007,266,2040,0.13040000000000002,118,926,0.12740000000000001,160,876,0.18259999999999998,2324,9913,0.23440000000000003
18063,HENDRICKS,117595,1257,8762,9121,9475,21331,20884,19251,15923,8662,2878,56638,60879,78,49559,43722,23396,918,0,96298,3660,3229,2355,1768,10285,96298,3154,3621,1388,759,428,274,116,231,114,119,48,101,77,72,53,54,107,34,75,39,17,10285,57698,388,179,43,68,38,342,58839,220,104946,48762,116661,0.41799999999999998,23872,56164,0.42499999999999999,24882,60423,0.41180000000000005,8,74,0.1081,42188,95699,0.44079999999999997,880,3572,0.24640000000000001,744,3160,0.2354,417,2313,0.18030000000000002,498,1745,0.28539999999999999,4035,10172,0.3967,15147,114224,0.1326,7505,54913,0.13669999999999999,7641,59263,0.12890000000000001,1,48,0.020800000000000003,13430,94040,0.14280000000000001,174,3406,0.0511,135,3041,0.044399999999999995,79,2181,0.036199999999999996,112,1673,0.066900000000000001,1217,9883,0.12309999999999999,0,112817,0,0,54197,0,0,58583,0,0,37,0,0,93066,0,0,3313,0,0,2961,0,0,2112,0,0,1633,0,0,9732,0,0,111387,0,0,53459,0,0,57891,0,0,37,0,0,92065,0,0,3216,0,0,2881,0,0,2052,0,0,1598,0,0,9575,0,85713,110200,0.77780000000000005,40416,52832,0.76500000000000001,45274,57332,0.78970000000000007,23,36,0.63890000000000002,71884,91256,0.78770000000000007,2128,3138,0.67810000000000004,2006,2813,0.71310000000000007,1281,2002,0.63989999999999991,1130,1571,0.71929999999999994,7284,9420,0.77320000000000011,23728,105418,0.22509999999999999,10492,50331,0.20849999999999999,13234,55053,0.2404,2,34,0.058799999999999998,20352,87773,0.2319,423,2869,0.1474,581,2622,0.22160000000000002,198,1786,0.1109,234,1475,0.15859999999999999,1940,8893,0.21810000000000002,23728,105418,0.22509999999999999,10492,50331,0.20849999999999999,13234,55053,0.2404,2,34,0.058799999999999998,20352,87773,0.2319,423,2869,0.1474,581,2622,0.22160000000000002,198,1786,0.1109,234,1475,0.15859999999999999,1940,8893,0.21810000000000002
18079,JENNINGS,17114,154,1130,1383,1379,2480,2784,3259,2552,1549,438,8477,8636,1,7116,6501,3286,211,0,15428,241,18,52,90,1285,15428,18,241,16,16,11,5,6,8,9,8,3,1,40,4,3,0,0,0,0,0,0,1285,8443,16,1,1,1,2,20,8630,15,66540,8042,17029,0.47230000000000005,4088,8417,0.48570000000000002,3954,8611,0.45920000000000005,0,1,0,7305,15353,0.4758,56,236,0.23730000000000001,4,18,0.22220000000000001,27,52,0.51919999999999999,43,90,0.47780000000000006,607,1280,0.47420000000000001,2941,16833,0.17469999999999999,1516,8319,0.18219999999999997,1425,8513,0.16740000000000002,0,1,0,2699,15189,0.1777,6,228,0.0263,1,17,0.058799999999999998,10,50,0.20000000000000001,14,89,0.1573,211,1260,0.16750000000000001,0,16677,0,0,8231,0,0,8445,0,0,1,0,0,15064,0,0,217,0,0,17,0,0,50,0,0,88,0,0,1241,0,0,16529,0,0,8152,0,0,8376,0,0,1,0,0,14940,0,0,206,0,0,17,0,0,49,0,0,87,0,0,1230,0,11578,16350,0.70810000000000006,5736,8059,0.71179999999999999,5842,8290,0.70469999999999999,0,1,0,10517,14792,0.71099999999999997,101,198,0.51010000000000011,6,17,0.35289999999999999,31,46,0.67389999999999994,58,83,0.69879999999999998,865,1214,0.71250000000000002,3735,15799,0.2364,1763,7759,0.22719999999999999,1972,8039,0.24530000000000002,0,1,0,3398,14293,0.23769999999999997,18,190,0.094700000000000006,2,16,0.125,14,45,0.31110000000000004,11,79,0.13919999999999999,292,1176,0.24830000000000002,3735,15799,0.2364,1763,7759,0.22719999999999999,1972,8039,0.24530000000000002,0,1,0,3398,14293,0.23769999999999997,18,190,0.094700000000000006,2,16,0.125,14,45,0.31110000000000004,11,79,0.13919999999999999,292,1176,0.24830000000000002
