GEOID,COUNTYFP,COUNTY,MEDN_INC21,TOT_HOUS21,LESS_10K21,10K_15K21,15K_20K21,20K_25K21,25K_30K21,30K_35K21,35K_40K21,40K_45K21,45K_50K21,50K_60K21,60K_75K21,75K_100K21,100_125K21,125_150K21,150_200K21,200K_MOR21
18001,1,Adams County,56037,12279,576,403,552,493,541,861,699,758,384,1360,1304,1958,1197,541,394,258
18003,3,Allen County,61456,149751,6870,5720,6351,7093,7050,7392,6455,7275,6236,12920,16185,21900,13757,9104,8307,7136
18005,5,Bartholomew County,71183,32303,1704,1013,777,1393,1241,1466,1498,1228,1005,2495,3403,4752,3634,2001,2578,2115
18007,7,Benton County,56155,3319,162,165,228,99,169,209,153,154,135,361,409,405,253,120,234,63
18009,9,Blackford County,45080,4963,583,324,236,226,406,238,247,219,189,517,460,524,359,161,171,103
18011,11,Boone County,94843,26130,815,819,464,596,702,797,693,902,559,1674,2360,3637,2811,1945,3047,4309
18013,13,Brown County,67737,6304,322,219,195,382,268,248,226,289,324,471,412,981,766,480,311,410
18015,15,Carroll County,56929,7876,186,182,327,363,531,597,463,246,311,879,832,1071,703,545,390,250
18017,17,Cass County,51776,15007,778,644,995,857,726,864,788,783,741,1351,1518,2198,1297,678,500,289
18019,19,Clark County,62296,46417,2092,1689,1372,2077,2060,2697,1916,2249,2461,3994,5215,6791,4453,2655,2971,1725
18021,21,Clay County,63361,10478,361,334,506,481,426,503,575,547,459,867,988,1932,983,637,578,301
18023,23,Clinton County,55582,12146,410,453,526,708,652,729,618,601,681,1196,1302,1986,995,667,447,175
18025,25,Crawford County,42465,4186,410,179,303,229,210,341,209,302,157,284,573,456,254,118,93,68
18027,27,Daviess County,57083,11621,480,599,463,751,679,381,380,503,718,1105,1177,1480,1043,787,695,380
18029,29,Dearborn County,72674,19499,1037,772,640,675,877,726,643,497,773,1411,2079,3229,2172,1308,1650,1010
18031,31,Decatur County,65000,10176,473,403,359,334,429,536,323,405,361,1082,1178,1528,1200,604,509,452
18033,33,DeKalb County,60757,16832,536,546,690,632,884,950,995,768,747,1576,2001,2685,1836,763,709,514
18035,35,Delaware County,49321,45602,4128,2566,2172,3130,2449,2633,2077,2238,1653,3898,4869,5503,3604,1808,1437,1437
18037,37,Dubois County,65389,17274,901,803,546,638,638,947,484,769,673,1665,1939,2740,1545,1293,891,802
18039,39,Elkhart County,61182,71343,3809,2234,2918,3484,2747,3387,3798,3566,2779,6322,7842,9942,7456,4047,3688,3324
18041,41,Fayette County,48101,9677,667,429,679,786,638,357,365,573,523,801,906,1269,874,360,361,89
18043,43,Floyd County,69858,30137,1219,1084,1210,1050,1026,1328,1147,1397,1324,2122,3373,4472,2768,2289,2273,2055
18045,45,Fountain County,54475,6843,287,348,394,467,254,337,340,378,310,689,866,985,544,300,177,167
18047,47,Franklin County,69440,8896,387,188,349,415,417,375,393,283,204,661,1143,1612,949,489,649,382
18049,49,Fulton County,56885,7896,464,325,304,416,505,463,321,411,263,771,794,999,618,553,508,181
18051,51,Gibson County,59697,12896,540,464,701,566,537,704,572,569,618,1198,1337,2033,1248,749,707,353
18053,53,Grant County,50009,26299,1784,1621,1449,1681,1117,1519,1588,1208,1180,2319,2713,2856,2568,1481,761,454
18055,55,Greene County,55470,12472,491,637,753,760,763,691,579,584,486,1135,1458,1716,866,672,534,347
18057,57,Hamilton County,104858,126371,2843,1173,2115,1876,2717,3772,2978,3579,2995,8447,12092,15990,14430,10834,16341,24189
18059,59,Hancock County,79126,30840,572,573,707,911,933,1553,899,1131,832,2358,3946,5266,3847,2264,2866,2182
18061,61,Harrison County,63586,14437,532,409,746,628,530,814,604,854,468,1237,1543,2209,1591,772,951,549
18063,63,Hendricks County,87961,62911,1402,904,1364,977,1801,1544,1798,2122,1884,5014,6876,10334,7990,6472,6691,5738
18065,65,Henry County,54154,18442,929,699,728,1187,1125,888,818,945,975,1856,2086,2621,1737,830,644,374
18067,67,Howard County,59238,34674,1886,1238,1649,1706,1318,1941,1695,1799,1414,2858,4065,4496,3679,1768,1984,1178
18069,69,Huntington County,56705,14928,540,538,579,781,773,734,641,914,864,1522,1545,2280,1528,654,641,394
18071,71,Jackson County,59504,17159,1021,624,776,744,801,769,1293,634,696,1278,1932,2371,1499,1196,958,567
18073,73,Jasper County,69632,12493,607,401,505,437,675,329,398,702,471,805,1490,2250,1361,891,658,513
18075,75,Jay County,48904,8146,393,377,422,359,487,543,452,554,593,676,759,1139,776,276,180,160
18077,77,Jefferson County,53784,12748,713,820,597,729,590,761,578,648,505,1238,1199,1683,1083,670,491,443
18079,79,Jennings County,63612,10217,476,538,318,470,247,515,419,542,355,998,1224,1716,1010,768,296,325
18081,81,Johnson County,77977,59475,2086,1466,1486,2341,1757,2397,2057,2267,1663,4175,6436,9831,6381,5152,5328,4652
18083,83,Knox County,51784,15111,1199,589,806,941,685,585,913,873,866,993,1506,1781,1282,659,582,851
