GEOID,COUNTYFP,COUNTY,TOT_POP21,ENG_ONLY21,SPANISH21,SP_EN_VW21,SP_EN_LW21,OTH_LANG21,OT_EN_VW21,OT_EN_LW21
18001,1,Adams County,32427,27162,580,463,117,4685,2290,2395
18003,3,Allen County,355363,314040,18855,13333,5522,22468,13397,9071
18005,5,Bartholomew County,76515,65970,4341,3256,1085,6204,4606,1598
18007,7,Benton County,8115,7751,313,203,110,51,34,17
18009,9,Blackford County,11520,11304,149,119,30,67,67,0
18011,11,Boone County,65326,61427,1690,1274,416,2209,1516,693
18013,13,Brown County,14830,14594,122,92,30,114,55,59
18015,15,Carroll County,19185,18621,449,366,83,115,73,42
18017,17,Cass County,35714,29776,5194,2976,2218,744,272,472
18019,19,Clark County,112898,106292,4824,2811,2013,1782,1354,428
18021,21,Clay County,24794,24503,199,124,75,92,68,24
18023,23,Clinton County,30730,27122,3465,1441,2024,143,106,37
18025,25,Crawford County,9898,9788,78,21,57,32,28,4
18027,27,Daviess County,30595,24314,1140,478,662,5141,4368,773
18029,29,Dearborn County,47863,46928,473,343,130,462,258,204
18031,31,Decatur County,24771,24096,229,174,55,446,410,36
18033,33,DeKalb County,40303,39003,456,350,106,844,723,121
18035,35,Delaware County,106993,103594,1219,1008,211,2180,1548,632
18037,37,Dubois County,40592,37956,2215,1021,1194,421,246,175
18039,39,Elkhart County,190916,152538,24934,16134,8800,13444,9304,4140
18041,41,Fayette County,22140,21559,378,160,218,203,108,95
18043,43,Floyd County,75057,72466,1293,949,344,1298,961,337
18045,45,Fountain County,15464,15030,138,92,46,296,128,168
18047,47,Franklin County,21445,20738,88,13,75,619,389,230
18049,49,Fulton County,19178,17804,847,428,419,527,377,150
18051,51,Gibson County,30968,30136,415,286,129,417,322,95
18053,53,Grant County,63061,60965,1364,1132,232,732,556,176
18055,55,Greene County,29245,28736,313,125,188,196,178,18
18057,57,Hamilton County,320238,286737,8720,5640,3080,24781,16390,8391
18059,59,Hancock County,74073,71376,1519,967,552,1178,883,295
18061,61,Harrison County,37371,36434,468,303,165,469,423,46
18063,63,Hendricks County,162483,151313,3885,2518,1367,7285,5444,1841
18065,65,Henry County,46403,45672,522,384,138,209,153,56
18067,67,Howard County,78350,75647,1272,875,397,1431,1150,281
18069,69,Huntington County,34520,33163,820,647,173,537,364,173
18071,71,Jackson County,42764,39751,2448,1238,1210,565,183,382
18073,73,Jasper County,31163,29971,865,473,392,327,247,80
18075,75,Jay County,19171,18259,333,274,59,579,466,113
18077,77,Jefferson County,31198,30127,546,378,168,525,345,180
18079,79,Jennings County,25958,25371,499,242,257,88,56,32
18081,81,Johnson County,149796,139985,3529,2535,994,6282,4445,1837
18083,83,Knox County,34355,33257,502,294,208,596,273,323
18085,85,Kosciusko County,75111,66986,4352,2443,1909,3773,2817,956
18087,87,LaGrange County,36483,19776,1158,716,442,15549,10950,4599
18089,89,Lake County,466670,400087,48457,32784,15673,18126,13471,4655
18091,91,LaPorte County,105750,100641,3170,1843,1327,1939,1406,533
18093,93,Lawrence County,42584,41759,328,189,139,497,304,193
18095,95,Madison County,122926,117792,3799,2458,1341,1335,988,347
18097,97,Marion County,900462,773300,73339,40681,32658,53823,30154,23669
18099,99,Marshall County,43279,37713,3317,2179,1138,2249,1687,562
18101,101,Martin County,9294,9133,136,133,3,25,21,4
18103,103,Miami County,34162,32450,920,662,258,792,581,211
18105,105,Monroe County,134208,120814,2937,2165,772,10457,6984,3473
18107,107,Montgomery County,35673,33817,1522,949,573,334,312,22
18109,109,Morgan County,67470,66347,525,338,187,598,331,267
18111,111,Newton County,13104,12454,482,270,212,168,162,6
18113,113,Noble County,44260,38002,3687,2182,1505,2571,1679,892
18115,115,Ohio County,5617,5542,32,21,11,43,43,0
18117,117,Orange County,18568,18009,100,15,85,459,248,211
18119,119,Owen County,20098,19655,118,92,26,325,104,221
18121,121,Parke County,15354,14166,137,42,95,1051,579,472
18123,123,Perry County,18084,17867,103,94,9,114,54,60
18125,125,Pike County,11547,11468,54,44,10,25,23,2
18127,127,Porter County,163259,152856,6020,4409,1611,4383,3369,1014
18129,129,Posey County,23945,23652,155,81,74,138,92,46
18131,131,Pulaski County,11836,11419,245,164,81,172,133,39
18133,133,Putnam County,35043,34108,358,172,186,577,340,237
18135,135,Randolph County,23168,22598,310,102,208,260,158,102
18137,137,Ripley County,27185,26421,485,298,187,279,138,141
18139,139,Rush County,15779,15256,192,115,77,331,288,43
18141,141,St. Joseph County,254803,230066,14396,9472,4924,10341,7018,3323
18143,143,Scott County,22893,22382,84,78,6,427,380,47
18145,145,Shelby County,42292,40419,1445,883,562,428,309,119
18147,147,Spencer County,18908,18310,448,271,177,150,118,32
18149,149,Starke County,21817,21288,223,116,107,306,185,121
18151,151,Steuben County,32550,31700,578,415,163,272,221,51
18153,153,Sullivan County,19598,19220,241,129,112,137,137,0
18155,155,Switzerland County,9311,8972,94,49,45,245,133,112
18157,157,Tippecanoe County,175399,150666,8842,5315,3527,15891,11149,4742
18159,159,Tipton County,14438,14052,282,264,18,104,104,0
18161,161,Union County,6654,6481,65,25,40,108,37,71
18163,163,Vanderburgh County,169189,162497,2746,1686,1060,3946,2492,1454
18165,165,Vermillion County,14699,14498,105,38,67,96,48,48
18167,167,Vigo County,100614,95964,1964,1469,495,2686,1916,770
18169,169,Wabash County,29509,28682,467,424,43,360,329,31
18171,171,Warren County,8003,7933,22,14,8,48,37,11
18173,173,Warrick County,59914,57356,1034,643,391,1524,1301,223
18175,175,Washington County,26440,25838,370,289,81,232,125,107
18177,177,Wayne County,62719,59599,1470,920,550,1650,1140,510
18179,179,Wells County,26366,25528,472,332,140,366,309,57
18181,181,White County,23116,21277,1629,1001,628,210,165,45
18183,183,Whitley County,31898,30892,246,213,33,760,678,82
