GEOID,COUNTYFP,COUNTY,TOT_HOUS21,TOT_CHI21,TOT_MAR21,TOT_MAL21,TOT_FEM21,TOT_BPOV21,CHI_BPOV21,MAR_BPOV21,MAL_BPOV21,FEM_BPOV21,TOT_APOV21,CHI_APOV21,MAR_APOV21,MAL_APOV21,FEM_APOV21,TOT_CVAP21,BPV_CVAP21,APV_CVAP21
18001,1,Adams County,8427,4301,3246,482,573,846,654,370,105,179,7581,3647,2876,377,394,23713,3105,20608
18003,3,Allen County,95718,47737,30383,4711,12643,8768,7354,1844,890,4620,86950,40383,28539,3821,8023,266386,26503,239883
18005,5,Bartholomew County,21232,10004,6915,1045,2044,1731,1438,332,183,923,19501,8566,6583,862,1121,54823,5356,49467
18007,7,Benton County,2158,1019,579,149,291,257,198,47,19,132,1901,821,532,130,159,6306,876,5430
18009,9,Blackford County,3182,1290,867,85,338,447,313,132,7,174,2735,977,735,78,164,9238,1611,7627
18011,11,Boone County,19298,9618,7387,618,1613,947,612,142,55,415,18351,9006,7245,563,1198,49588,3103,46485
18013,13,Brown County,4848,1603,1098,226,279,321,166,24,0,142,4527,1437,1074,226,137,12503,1021,11482
18015,15,Carroll County,5201,2106,1476,214,416,228,151,73,0,78,4973,1955,1403,214,338,15448,840,14608
18017,17,Cass County,9714,4385,2633,513,1239,878,610,146,81,383,8836,3775,2487,432,856,26552,3179,23373
18019,19,Clark County,30261,13381,8649,1807,2925,1898,1453,478,179,796,28363,11928,8171,1628,2129,89387,7862,81525
18021,21,Clay County,7497,3225,2047,294,884,522,373,85,23,265,6975,2852,1962,271,619,19723,1758,17965
18023,23,Clinton County,7707,3457,2425,369,663,477,357,133,30,194,7230,3100,2292,339,469,22022,1936,20086
18025,25,Crawford County,2744,813,621,72,120,418,208,122,22,64,2326,605,499,50,56,8151,1286,6865
18027,27,Daviess County,8093,4233,3331,218,684,655,508,267,34,207,7438,3725,3064,184,477,22267,2086,20181
18029,29,Dearborn County,13837,6391,4523,701,1167,845,727,153,149,425,12992,5664,4370,552,742,38519,3202,35317
18031,31,Decatur County,6548,2902,2356,217,329,515,321,193,30,98,6033,2581,2163,187,231,19392,1822,17570
