GEOID,STATEFP,STATE,COUNTYFP,COUNTY,TOT_POP21,NHSP_POP21,HSP_POP21,WHT_NHSP21,BLK_NHSP21,AIA_NHSP21,ASN_NHSP21,HPI_NHSP21,OTH_NHSP21,2OM_NHSP21,BLK_ALL21,AIA_ALL21,ASN_ALL21,HPI_ALL21,OTH_ALL21
18001,18, Indiana,1,Adams County,35685,34035,1650,33283,313,9,28,0,37,365,477,248,91,1,953
18003,18, Indiana,3,Allen County,381839,351985,29854,276574,42417,385,17289,161,1218,13941,53223,3426,19682,493,17355
18005,18, Indiana,5,Bartholomew County,81759,75602,6157,65508,1313,72,6517,0,285,1907,2692,878,6951,87,3455
18007,18, Indiana,7,Benton County,8687,8194,493,7935,59,0,8,15,0,177,122,52,12,46,180
18009,18, Indiana,9,Blackford County,12139,11917,222,11558,63,29,34,0,0,233,164,138,70,0,28
18011,18, Indiana,11,Boone County,69839,67515,2324,62309,1436,35,2200,0,116,1419,1935,451,2845,80,1419
18013,18, Indiana,13,Brown County,15444,15151,293,14694,99,0,78,0,14,266,141,211,116,0,139
18015,18, Indiana,15,Carroll County,20288,19370,918,18879,115,8,37,0,0,331,212,140,158,19,509
18017,18, Indiana,17,Cass County,37918,31749,6169,29546,371,72,638,0,26,1096,924,284,862,134,4654
18019,18, Indiana,19,Clark County,120185,113362,6823,98580,8103,12,1112,15,443,5097,11763,1209,1823,259,2440
18021,18, Indiana,21,Clay County,26397,25966,431,25134,147,1,47,6,40,591,426,255,148,6,306
18023,18, Indiana,23,Clinton County,33010,27557,5453,26823,213,1,137,18,22,343,680,153,181,45,2999
18025,18, Indiana,25,Crawford County,10511,10418,93,10030,49,0,0,0,16,323,150,310,78,0,59
18027,18, Indiana,27,Daviess County,33281,31439,1842,29716,565,22,42,0,105,989,915,209,333,0,873
18029,18, Indiana,29,Dearborn County,50494,49785,709,48386,221,29,300,64,110,675,523,277,319,202,466
18031,18, Indiana,31,Decatur County,26466,25891,575,24943,63,1,343,0,110,431,261,302,416,34,408
18033,18, Indiana,33,DeKalb County,43059,41784,1275,40652,99,15,188,0,21,809,503,249,396,0,599
18035,18, Indiana,35,Delaware County,112480,109565,2915,96976,7180,45,1627,26,108,3603,9559,1007,2152,82,1615
18037,18, Indiana,37,Dubois County,43474,39849,3625,38686,310,1,170,0,149,533,881,370,198,0,2353
18039,18, Indiana,39,Elkhart County,206314,171806,34508,152111,10534,304,1978,110,430,6339,15520,2085,3111,309,15689
18041,18, Indiana,41,Fayette County,23393,23066,327,21992,318,61,23,0,3,669,566,172,46,10,488
18043,18, Indiana,43,Floyd County,79594,76738,2856,69338,3925,71,986,0,50,2368,5683,583,1243,107,1638
18045,18, Indiana,45,Fountain County,16422,15978,444,15566,81,11,78,0,10,232,154,187,98,16,133
18047,18, Indiana,47,Franklin County,22769,22487,282,21915,11,0,128,0,76,357,216,127,172,0,241
18049,18, Indiana,49,Fulton County,20400,19286,1114,18580,105,40,29,0,69,463,192,417,99,0,742
18051,18, Indiana,51,Gibson County,33017,32418,599,30431,792,2,164,0,54,975,1308,313,280,39,606
18053,18, Indiana,53,Grant County,66802,63730,3072,56363,4521,86,649,0,67,2044,6252,774,834,148,1387
18055,18, Indiana,55,Greene County,30924,30372,552,29633,138,0,43,4,3,551,226,292,171,11,316
18057,18, Indiana,57,Hamilton County,341616,326985,14631,280770,13244,290,21235,145,1342,9959,18128,2173,25610,273,7765
18059,18, Indiana,59,Hancock County,78616,76482,2134,71750,2137,74,616,0,23,1882,3080,514,1113,0,1820
18061,18, Indiana,61,Harrison County,39516,38704,812,37434,242,0,214,0,152,662,530,353,300,9,589
18063,18, Indiana,63,Hendricks County,172100,164668,7432,141424,12696,186,5234,8,607,4513,15303,1043,6286,392,4470
18065,18, Indiana,65,Henry County,48857,47879,978,45435,1156,69,154,0,74,991,1737,426,326,18,568
18067,18, Indiana,67,Howard County,83349,80335,3014,69983,6540,102,1042,0,262,2406,8182,1095,1506,140,1393
18069,18, Indiana,69,Huntington County,36572,35605,967,34433,299,120,269,56,0,428,372,321,321,68,605
18071,18, Indiana,71,Jackson County,45948,42398,3550,39754,591,17,842,55,284,855,776,422,1055,210,2908
18073,18, Indiana,73,Jasper County,33006,30930,2076,29497,335,3,95,0,0,1000,750,287,166,3,1810
18075,18, Indiana,75,Jay County,20570,19886,684,19439,90,14,92,0,1,250,204,159,119,0,389
18077,18, Indiana,77,Jefferson County,33000,32021,979,30382,651,64,245,0,147,532,980,309,390,0,625
18079,18, Indiana,79,Jennings County,27619,26844,775,26106,221,37,71,0,0,409,401,322,129,0,463
18081,18, Indiana,81,Johnson County,159739,153741,5998,139587,4142,51,6280,73,448,3160,5430,923,7403,152,3243
18083,18, Indiana,83,Knox County,36362,35489,873,33132,916,10,337,28,15,1051,1302,266,400,41,815
18085,18, Indiana,85,Kosciusko County,80151,73554,6597,69718,554,83,1222,15,512,1450,1239,611,1462,84,4071
18087,18, Indiana,87,LaGrange County,40085,38372,1713,37596,65,5,32,0,16,658,325,357,249,14,973
18089,18, Indiana,89,Lake County,495925,398040,97885,263960,114170,732,7257,132,1145,10644,124373,4825,10372,424,62347
18091,18, Indiana,91,LaPorte County,112184,104317,7867,87434,11801,208,656,5,279,3934,15070,967,1022,41,4766
18093,18, Indiana,93,Lawrence County,45133,44357,776,42791,121,134,290,20,210,791,473,556,388,39,678
18095,18, Indiana,95,Madison County,130037,124263,5774,109091,10185,122,748,1,456,3660,12585,1216,1147,112,3173
18097,18, Indiana,97,Marion County,969542,864484,105058,518126,269056,962,35464,180,4782,35914,300693,8875,43439,1066,57249
18099,18, Indiana,99,Marshall County,46175,41331,4844,40055,299,7,302,0,20,648,692,429,521,0,1326
18101,18, Indiana,101,Martin County,9885,9768,117,9461,39,61,5,0,49,153,56,91,40,10,120
18103,18, Indiana,103,Miami County,36100,34813,1287,31572,1599,105,236,7,36,1258,2215,570,274,7,1128
18105,18, Indiana,105,Monroe County,140189,135130,5059,116502,4741,91,9193,13,73,4517,6605,1315,11269,198,2205
18107,18, Indiana,107,Montgomery County,37967,36071,1896,34624,325,4,193,20,106,799,695,305,365,79,1107
18109,18, Indiana,109,Morgan County,71394,70153,1241,67831,198,1,471,0,184,1468,741,546,659,70,1028
18111,18, Indiana,111,Newton County,13865,12885,980,12501,148,19,25,0,0,192,247,147,34,22,608
18113,18, Indiana,113,Noble County,47293,42291,5002,40859,160,46,293,65,78,790,703,282,402,172,1840
18115,18, Indiana,115,Ohio County,5931,5874,57,5641,12,3,44,0,3,171,81,46,65,0,45
18117,18, Indiana,117,Orange County,19752,19399,353,18598,319,8,102,0,0,372,428,200,119,5,397
18119,18, Indiana,119,Owen County,21280,20996,284,20364,8,39,87,0,19,479,82,353,190,0,217
18121,18, Indiana,121,Parke County,16316,16137,179,15355,185,24,0,0,13,560,312,397,29,16,161
18123,18, Indiana,123,Perry County,19151,18866,285,17951,548,27,126,0,10,204,663,104,157,0,216
18125,18, Indiana,125,Pike County,12220,11992,228,11732,90,0,38,0,0,132,119,75,61,0,233
18127,18, Indiana,127,Porter County,172353,154270,18083,140784,6566,241,2376,25,124,4154,8774,1276,3294,109,7328
18129,18, Indiana,129,Posey County,25301,24980,321,24040,310,25,73,0,184,348,633,42,198,0,371
18131,18, Indiana,131,Pulaski County,12496,12089,407,11660,17,0,66,26,3,317,111,142,114,44,476
18133,18, Indiana,133,Putnam County,36838,36079,759,33651,955,49,959,11,21,433,1124,232,1068,11,343
18135,18, Indiana,135,Randolph County,24681,23738,943,22809,64,14,104,0,267,480,348,275,125,11,862
18137,18, Indiana,137,Ripley County,28953,28421,532,27558,82,0,251,0,94,436,105,163,432,12,251
18139,18, Indiana,139,Rush County,16706,16398,308,15914,97,0,16,0,15,356,267,125,75,0,56
18141,18, Indiana,141,St. Joseph County,272049,247019,25030,193837,33904,445,6816,129,1146,10742,42153,3028,9074,569,14133
18143,18, Indiana,143,Scott County,24290,23686,604,22944,53,201,46,0,136,306,303,527,73,64,490
18145,18, Indiana,145,Shelby County,44825,42736,2089,41064,501,0,179,0,73,919,936,247,457,287,1245
18147,18, Indiana,147,Spencer County,19949,19342,607,18806,138,0,73,0,57,268,268,109,97,1,337
18149,18, Indiana,149,Starke County,23275,22302,973,21690,29,17,70,0,5,491,125,393,108,2,324
18151,18, Indiana,151,Steuben County,34379,33051,1328,32054,97,16,226,0,34,624,435,429,332,22,717
18153,18, Indiana,153,Sullivan County,20814,20443,371,18973,728,7,18,0,70,647,1062,334,38,8,308
18155,18, Indiana,155,Switzerland County,9870,9682,188,9393,33,10,67,0,0,179,63,149,67,67,64
18157,18, Indiana,157,Tippecanoe County,185961,169778,16183,138527,10358,154,14629,39,868,5203,12942,1544,17000,195,7902
18159,18, Indiana,159,Tipton County,15290,14835,455,14461,48,26,70,0,2,228,166,103,150,7,116
18161,18, Indiana,161,Union County,7098,6938,160,6709,5,0,128,0,0,96,21,69,148,0,14
18163,18, Indiana,163,Vanderburgh County,179695,174515,5180,148265,17689,63,2454,376,536,5132,21008,1115,3322,435,3413
18165,18, Indiana,165,Vermillion County,15477,15265,212,14891,65,15,30,7,0,257,101,104,144,7,190
18167,18, Indiana,167,Vigo County,106523,103516,3007,90348,7592,150,2191,103,157,2975,9412,911,2678,150,2212
18169,18, Indiana,169,Wabash County,31120,30273,847,29121,314,212,161,13,72,380,444,336,220,23,603
18171,18, Indiana,171,Warren County,8430,8248,182,8018,29,3,28,0,15,155,44,98,62,4,52
18173,18, Indiana,173,Warrick County,63575,62290,1285,57910,1241,22,1540,6,243,1328,1659,354,1946,6,1154
18175,18, Indiana,175,Washington County,28025,27643,382,26996,17,3,63,0,16,548,282,185,89,49,339
18177,18, Indiana,177,Wayne County,66588,64429,2159,58096,2903,34,817,5,285,2289,4774,954,1022,68,917
18179,18, Indiana,179,Wells County,28103,27188,915,26280,232,9,118,0,0,549,451,184,208,0,726
18181,18, Indiana,181,White County,24593,22426,2167,21787,119,62,71,0,0,387,262,162,145,20,1859
18183,18, Indiana,183,Whitley County,34048,33277,771,31986,126,55,100,0,98,912,369,354,292,0,624
