GEOID,County,Year,Total,Preschool,School Age,College Age,Young Adult,Older Adult,Seniors,Square_Miles
18001,Adams County,2010,"34,387","3,186","8,510","1,962","7,880","8,099","4,750",339.03
18001,Adams County,2015,"34,967","3,283","8,519","2,174","7,764","8,131","5,096",339.03
18001,Adams County,2020,"35,508","3,180","8,804","1,969","7,914","7,897","5,744",339.03
18001,Adams County,2025,"36,078","3,056","9,069","1,947","7,876","7,495","6,635",339.03
18001,Adams County,2030,"36,537","3,078","9,062","2,062","7,798","7,222","7,315",339.03
18001,Adams County,2035,"36,896","3,126","8,942","2,183","7,873","7,133","7,639",339.03
18001,Adams County,2040,"37,344","3,222","8,910","2,200","7,931","7,287","7,794",339.03
18001,Adams County,2045,"37,822","3,295","9,082","2,143","8,220","7,262","7,820",339.03
18001,Adams County,2050,"38,306","3,343","9,305","2,165","8,421","7,228","7,844",339.03
18003,Allen County,2010,"355,329","26,524","79,545","23,380","92,609","91,134","42,137",657.31
18003,Allen County,2015,"368,040","26,456","78,879","25,116","95,452","92,708","49,429",657.31
18003,Allen County,2020,"379,671","26,858","79,774","23,683","99,621","91,332","58,403",657.31
18003,Allen County,2025,"392,245","29,088","80,893","23,818","101,124","88,849","68,473",657.31
18003,Allen County,2030,"402,948","29,039","83,547","24,251","102,330","87,719","76,062",657.31
18003,Allen County,2035,"411,566","28,857","86,254","24,091","102,151","90,453","79,760",657.31
18003,Allen County,2040,"419,283","28,736","88,240","24,786","101,361","94,060","82,100",657.31
18003,Allen County,2045,"426,351","29,079","87,881","27,034","103,164","95,449","83,744",657.31
18003,Allen County,2050,"433,735","29,854","87,962","26,952","106,562","96,855","85,550",657.31
18005,Bartholomew County,2010,"76,794","5,231","16,017","4,175","20,244","20,396","10,731",406.91
18005,Bartholomew County,2015,"81,011","5,391","15,671","5,233","21,720","20,717","12,279",406.91
18005,Bartholomew County,2020,"84,572","5,776","16,102","4,411","23,527","20,807","13,949",406.91
18005,Bartholomew County,2025,"86,892","6,063","16,762","4,302","23,670","20,451","15,644",406.91
18005,Bartholomew County,2030,"88,461","5,844","17,465","4,500","23,188","20,478","16,986",406.91
18005,Bartholomew County,2035,"89,567","5,806","17,840","4,595","22,005","21,667","17,654",406.91
18005,Bartholomew County,2040,"90,533","5,838","17,844","4,931","20,779","22,984","18,157",406.91
18005,Bartholomew County,2045,"91,539","6,020","17,616","5,220","21,325","22,975","18,383",406.91
18005,Bartholomew County,2050,"92,555","6,093","17,803","5,029","22,271","22,470","18,889",406.91
18007,Benton County,2010,"8,854",617,"1,890",408,"2,100","2,445","1,394",406.42
18007,Benton County,2015,"8,674",543,"1,856",495,"1,953","2,416","1,411",406.42
18007,Benton County,2020,"8,507",580,"1,753",386,"1,985","2,285","1,518",406.42
18007,Benton County,2025,"8,440",662,"1,700",348,"1,915","2,088","1,727",406.42
18007,Benton County,2030,"8,299",600,"1,775",330,"1,767","1,955","1,872",406.42
18007,Benton County,2035,"8,071",513,"1,834",306,"1,681","1,812","1,925",406.42
18007,Benton County,2040,"7,767",471,"1,758",336,"1,492","1,838","1,872",406.42
18007,Benton County,2045,"7,442",472,"1,567",393,"1,445","1,774","1,791",406.42
18007,Benton County,2050,"7,229",545,"1,444",357,"1,494","1,641","1,748",406.42
18009,Blackford County,2010,"12,766",759,"2,476",666,"2,890","3,707","2,268",165.08
18009,Blackford County,2015,"12,287",750,"2,253",688,"2,642","3,464","2,490",165.08
18009,Blackford County,2020,"11,759",707,"2,150",555,"2,491","3,198","2,658",165.08
18009,Blackford County,2025,"11,210",663,"2,091",481,"2,361","2,805","2,809",165.08
18009,Blackford County,2030,"10,592",594,"1,975",497,"2,184","2,488","2,854",165.08
18009,Blackford County,2035,"9,982",577,"1,832",478,"2,051","2,312","2,732",165.08
18009,Blackford County,2040,"9,439",583,"1,719",458,"1,880","2,196","2,603",165.08
18009,Blackford County,2045,"8,938",563,"1,651",439,"1,809","2,086","2,390",165.08
18009,Blackford County,2050,"8,453",521,"1,622",396,"1,769","1,943","2,202",165.08
18011,Boone County,2010,"56,640","3,925","13,283","2,355","14,284","16,149","6,644",422.91
18011,Boone County,2015,"63,400","4,303","14,214","3,482","15,927","17,369","8,105",422.91
18011,Boone County,2020,"70,556","4,805","15,325","3,618","18,852","18,109","9,847",422.91
18011,Boone County,2025,"77,632","5,719","16,651","3,218","21,174","18,790","12,080",422.91
18011,Boone County,2030,"83,749","5,942","18,373","3,306","21,789","20,262","14,077",422.91
